title	imdb_id	startYear	runtimeMinutes	genres	url	imdb_rating	num_votes
Pompeii	tt1921064	2014	105	Action,Adventure,Drama	https://letterboxd.com/film/pompeii/	5.5	115387
Bend It Like Beckham	tt0286499	2002	112	Comedy,Drama,Romance	https://letterboxd.com/film/bend-it-like-beckham/	6.7	115330
Doctor Sleep	tt5606664	2019	152	Drama,Fantasy,Horror	https://letterboxd.com/film/doctor-sleep/	7.3	213380
Cutie Honey	tt0409860	2004	94	Adventure,Comedy,Sci-Fi	https://letterboxd.com/film/cutie-honey/	6.2	1934
28 Days Later	tt0289043	2002	113	Drama,Horror,Sci-Fi	https://letterboxd.com/film/28-days-later/	7.5	435604
The Life of David Gale	tt0289992	2003	130	Crime,Drama,Mystery	https://letterboxd.com/film/the-life-of-david-gale/	7.5	124774
Meet the Fockers	tt0290002	2004	115	Comedy,Romance	https://letterboxd.com/film/meet-the-fockers/	6.3	282779
X2	tt0290334	2003	134	Action,Sci-Fi,Thriller	https://letterboxd.com/film/x2/	7.4	569155
Alexander	tt0346491	2004	175	Action,Biography,Drama	https://letterboxd.com/film/alexander/	5.6	174880
Irreversible	tt0290673	2002	97	Crime,Drama,Mystery	https://letterboxd.com/film/irreversible/	7.3	144683
Let Me In	tt1228987	2010	116	Drama,Fantasy,Horror	https://letterboxd.com/film/let-me-in/	7.1	126238
The Empire Strikes Back	tt8237514	2018	29	Comedy,History	https://letterboxd.com/film/the-empire-strikes-back/	7.9	144
Harry Potter and the Chamber of Secrets	tt0295297	2002	161	Adventure,Family,Fantasy	https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/	7.4	676203
The Texas Chainsaw Massacre	tt0324216	2003	98	Horror	https://letterboxd.com/film/the-texas-chainsaw-massacre/	6.2	150671
8 Mile	tt0298203	2002	110	Drama,Music	https://letterboxd.com/film/8-mile/	7.2	313523
Good Bye Lenin!	tt0301357	2003	121	Comedy,Drama,Romance	https://letterboxd.com/film/good-bye-lenin/	7.7	151164
Harry Potter and the Philosopher's Stone	tt0304142	2001	364	Action,Adventure,Family	https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/	7.3	1619
Shark Tale	tt0307453	2004	90	Adventure,Animation,Comedy	https://letterboxd.com/film/shark-tale/	6	195492
25th Hour	tt0307901	2002	135	Drama	https://letterboxd.com/film/25th-hour/	7.6	183437
Master and Commander: The Far Side of the World	tt0311113	2003	138	Action,Adventure,Drama	https://letterboxd.com/film/master-and-commander-the-far-side-of-the-world/	7.5	234057
Holes	tt0311289	2003	117	Adventure,Comedy,Drama	https://letterboxd.com/film/holes/	7	97777
Love Actually	tt0314331	2003	135	Comedy,Drama,Romance	https://letterboxd.com/film/love-actually/	7.6	513700
Bruce Almighty	tt0315327	2003	101	Comedy,Fantasy	https://letterboxd.com/film/bruce-almighty/	6.8	425432
21 Grams	tt0315733	2003	124	Crime,Drama,Thriller	https://letterboxd.com/film/21-grams/	7.6	243883
I Am Love	tt1226236	2009	120	Drama,Romance	https://letterboxd.com/film/i-am-love/	7	23650
Resident Evil: Apocalypse	tt0318627	2004	94	Action,Horror,Sci-Fi	https://letterboxd.com/film/resident-evil-apocalypse/	6.1	207487
Big Fish	tt0319061	2003	125	Adventure,Drama,Fantasy	https://letterboxd.com/film/big-fish/	8	454205
Martyrs	tt1029234	2008	99	Horror	https://letterboxd.com/film/martyrs/	7	103818
God Bless America	tt1912398	2011	105	Action,Comedy,Crime	https://letterboxd.com/film/god-bless-america/	7.1	71597
Lara Croft: Tomb Raider - The Cradle of Life	tt0325703	2003	117	Action,Adventure,Fantasy	https://letterboxd.com/film/lara-croft-tomb-raider-the-cradle-of-life/	5.5	143462
Pirates of the Caribbean: The Curse of the Black Pearl	tt0325980	2003	143	Action,Adventure,Fantasy	https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/	8.1	1186006
Mystic River	tt0327056	2003	138	Crime,Drama,Mystery	https://letterboxd.com/film/mystic-river/	7.9	476772
American Wedding	tt0328828	2003	96	Comedy	https://letterboxd.com/film/american-wedding/	6.3	214753
High Life	tt4827558	2018	113	Mystery,Sci-Fi,Thriller	https://letterboxd.com/film/high-life-2018/	5.8	39669
School of Rock	tt0332379	2003	109	Comedy,Music	https://letterboxd.com/film/school-of-rock/	7.2	323626
Troy	tt0332452	2004	163	Drama	https://letterboxd.com/film/troy/	7.3	560654
Drive My Car	tt14039582	2021	179	Drama	https://letterboxd.com/film/drive-my-car/	7.6	61970
Garden State	tt0333766	2004	102	Comedy,Drama,Romance	https://letterboxd.com/film/garden-state/	7.4	221811
Lost in Translation	tt0335266	2003	102	Comedy,Drama	https://letterboxd.com/film/lost-in-translation/	7.7	479346
The Passion of the Christ	tt0335345	2004	127	Drama	https://letterboxd.com/film/the-passion-of-the-christ/	7.2	245959
Starsky & Hutch	tt0335438	2004	101	Comedy,Crime	https://letterboxd.com/film/starsky-hutch/	6.1	153053
Eternal Sunshine of the Spotless Mind	tt0338013	2004	108	Drama,Romance,Sci-Fi	https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/	8.3	1056283
The Polar Express	tt0338348	2004	100	Adventure,Animation,Comedy	https://letterboxd.com/film/the-polar-express/	6.6	231290
Star Wars: The Clone Wars	tt0458290	2008	23	Action,Adventure,Animation	https://letterboxd.com/film/star-wars-the-clone-wars/	8.4	116039
The Green Butchers	tt0342492	2003	100	Comedy,Drama	https://letterboxd.com/film/the-green-butchers/	7.2	24096
Paddington	tt1109624	2014	95	Adventure,Comedy,Family	https://letterboxd.com/film/paddington/	7.3	128611
I, Robot	tt0343818	2004	115	Action,Mystery,Sci-Fi	https://letterboxd.com/film/i-robot/	7.1	566574
Head-On	tt0347048	2004	121	Drama,Romance	https://letterboxd.com/film/head-on-2004/	7.9	56900
(T)Raumschiff Surprise - Periode 1	tt0349047	2004	87	Comedy,Sci-Fi	https://letterboxd.com/film/traumschiff-surprise-periode-1/	5.5	16501
The One I Love	tt2756032	2014	91	Comedy,Drama,Fantasy	https://letterboxd.com/film/the-one-i-love-2014/	7	42559
The Science of Sleep	tt0354899	2006	105	Comedy,Drama,Fantasy	https://letterboxd.com/film/the-science-of-sleep/	7.2	70533
Titan	tt15766600	2021	18	Drama,Short	https://letterboxd.com/film/titan-2021/	6.5	110
The Imitation Game	tt2084970	2014	114	Biography,Drama,Thriller	https://letterboxd.com/film/the-imitation-game/	8	810435
Constantine	tt0360486	2005	121	Action,Fantasy,Horror	https://letterboxd.com/film/constantine/	7	367330
The Gray Man	tt1649418	2022	122	Action,Thriller	https://letterboxd.com/film/the-gray-man-2022/	6.5	229360
Inglourious Basterds	tt0361748	2009	153	Adventure,Drama,War	https://letterboxd.com/film/inglourious-basterds/	8.4	1544646
Lucy	tt2872732	2014	89	Action,Sci-Fi,Thriller	https://letterboxd.com/film/lucy-2014/	6.4	524801
The Machinist	tt0361862	2004	101	Drama,Thriller	https://letterboxd.com/film/the-machinist/	7.6	409829
The Terminal	tt0362227	2004	128	Comedy,Drama,Romance	https://letterboxd.com/film/the-terminal/	7.4	486152
The Grey	tt1601913	2011	117	Action,Adventure,Drama	https://letterboxd.com/film/the-grey/	6.7	260824
Oldboy	tt0364569	2003	120	Action,Drama,Mystery	https://letterboxd.com/film/oldboy-2013/	8.4	618892
Dodgeball: A True Underdog Story	tt0364725	2004	92	Comedy,Sport	https://letterboxd.com/film/dodgeball-a-true-underdog-story/	6.7	263025
The Help	tt1454029	2011	146	Drama	https://letterboxd.com/film/the-help/	8.1	483833
Shaun of the Dead	tt0365748	2004	99	Comedy,Horror	https://letterboxd.com/film/shaun-of-the-dead/	7.9	584442
The Squid and the Whale	tt0367089	2005	81	Comedy,Drama	https://letterboxd.com/film/the-squid-and-the-whale/	7.3	88697
Charlie and the Chocolate Factory	tt0367594	2005	115	Adventure,Comedy,Family	https://letterboxd.com/film/charlie-and-the-chocolate-factory/	6.7	512598
Indiana Jones and the Kingdom of the Crystal Skull	tt0367882	2008	122	Action,Adventure	https://letterboxd.com/film/indiana-jones-and-the-kingdom-of-the-crystal-skull/	6.2	484422
Room	tt3170832	2015	118	Drama,Thriller	https://letterboxd.com/film/room-2015/	8.1	442660
Girlhood	tt3655522	2014	113	Drama	https://letterboxd.com/film/girlhood-2014/	7	9882
Jurassic World	tt0369610	2015	124	Action,Adventure,Sci-Fi	https://letterboxd.com/film/jurassic-world/	6.9	670066
AVP: Alien vs. Predator	tt0370263	2004	101	Action,Adventure,Horror	https://letterboxd.com/film/avp-alien-vs-predator/	5.7	209371
Before Sunset	tt0381681	2004	80	Drama,Romance	https://letterboxd.com/film/before-sunset/	8.1	282247
The Bourne Supremacy	tt0372183	2004	108	Action,Mystery,Thriller	https://letterboxd.com/film/the-bourne-supremacy/	7.7	481071
Batman Begins	tt0372784	2005	140	Action,Crime,Drama	https://letterboxd.com/film/batman-begins/	8.2	1548467
A Serious Man	tt1019452	2009	106	Comedy,Drama	https://letterboxd.com/film/a-serious-man/	7	148099
Kill Bill: Vol. 2	tt0378194	2004	137	Action,Crime,Thriller	https://letterboxd.com/film/kill-bill-vol-2/	8	791088
Melinda and Melinda	tt0378947	2004	99	Comedy,Drama,Romance	https://letterboxd.com/film/melinda-and-melinda/	6.4	33005
